"F0001"	"F0002"	"F0003"	"F0004"	"F0005"	"F0006"	"F0007"	"F0008"	"F0009"	"F0010"	"F0011"	"F0012"	"F0013"	"F0014"	"F0015"	"F0016"	"F0017"	"M0001"	"M0002"	"M0004"	"M0005"	"M0006"	"M0007"	"M0009"	"M0010"	"M0014"	"M0015"	"M0017"	"M0018"	"M0019"	"M0020"	"M0021"	"M0022"	"M0023"	"M0024"	"M0025"	"M0026"	"M0027"	"M0028"	"PCC_1"	"PCC_10"	"PCC_105"	"PCC_106"	"PCC_108"	"PCC_118"	"PCC_12"	"PCC_134"	"PCC_142"	"PCC_143"	"PCC_147"	"PCC_151"	"PCC_155"	"PCC_159"	"PCC_161"	"PCC_162"	"PCC_166"	"PCC_170"	"PCC_174"	"PCC_179"	"PCC_18"	"PCC_180"	"PCC_181"	"PCC_182"	"PCC_187"	"PCC_188"	"PCC_197"	"PCC_207"	"PCC_209"	"PCC_21"	"PCC_213"	"PCC_219"	"PCC_226"	"PCC_23"	"PCC_24"	"PCC_245"	"PCC_246"	"PCC_25"	"PCC_252"	"PCC_253"	"PCC_254"	"PCC_257"	"PCC_260"	"PCC_261"	"PCC_262"	"PCC_266"	"PCC_267"	"PCC_269"	"PCC_27"	"PCC_270"	"PCC_271"	"PCC_280"	"PCC_293"	"PCC_294"	"PCC_299"	"PCC_30"	"PCC_309"	"PCC_31"	"PCC_311"	"PCC_34"	"PCC_38"	"PCC_39"	"PCC_43"	"PCC_5"	"PCC_52"	"PCC_53"	"PCC_56"	"PCC_58"	"PCC_64"	"PCC_65"	"PCC_73"	"PCC_75"	"PCC_76"	"PCC_78"	"PCC_8"	"PCC_80"	"PCC_81"	"PCC_9"	"PCC_90"	"PCC_93"	"PCC_94"	"PCC_95"	"PCC_98"	"M0012"	"M0016"	"PCC_14"	"PCC_198"	"PCC_211"	"PCC_227"	"PCC_229"	"PCC_231"	"PCC_247"	"PCC_307"	"M0003"	"M0008"	"M0011"	"M0013"	"PCC_100"	"PCC_107"	"PCC_109"	"PCC_11"	"PCC_111"	"PCC_113"	"PCC_114"	"PCC_116"	"PCC_119"	"PCC_120"	"PCC_121"	"PCC_122"	"PCC_123"	"PCC_124"	"PCC_125"	"PCC_126"	"PCC_132"	"PCC_135"	"PCC_136"	"PCC_140"	"PCC_145"	"PCC_149"	"PCC_15"	"PCC_152"	"PCC_153"	"PCC_154"	"PCC_156"	"PCC_160"	"PCC_163"	"PCC_165"	"PCC_168"	"PCC_169"	"PCC_171"	"PCC_173"	"PCC_175"	"PCC_178"	"PCC_184"	"PCC_186"	"PCC_189"	"PCC_19"	"PCC_191"	"PCC_2"	"PCC_20"	"PCC_205"	"PCC_208"	"PCC_210"	"PCC_216"	"PCC_217"	"PCC_224"	"PCC_225"	"PCC_235"	"PCC_242"	"PCC_244"	"PCC_250"	"PCC_256"	"PCC_258"	"PCC_259"	"PCC_26"	"PCC_272"	"PCC_273"	"PCC_275"	"PCC_276"	"PCC_278"	"PCC_28"	"PCC_286"	"PCC_302_P3"	"PCC_310"	"PCC_313"	"PCC_32"	"PCC_37"	"PCC_4"	"PCC_54"	"PCC_57"	"PCC_6"	"PCC_60"	"PCC_62_P3"	"PCC_63"	"PCC_77"	"PCC_79"	"PCC_84"	"PCC_85"	"PCC_88"	"PCC_89"	"PCC_91"	"PCC_92"	"PCC_97"	"PCC_146"	"PCC_157"	"PCC_167"	"PCC_176"	"PCC_183"	"PCC_193"	"PCC_196"	"PCC_248"	"PCC_7"	"PCC_148"	"PCC_223"	"PCC_249"	"PCC_312"	"PCC_61"	"PCC_96"	"PCC_101"	"PCC_102"	"PCC_103"	"PCC_104"	"PCC_112"	"PCC_115"	"PCC_127"	"PCC_128"	"PCC_129"	"PCC_130"	"PCC_133"	"PCC_138"	"PCC_139"	"PCC_144"	"PCC_158"	"PCC_164"	"PCC_185"	"PCC_192"	"PCC_194"	"PCC_201"	"PCC_202"	"PCC_203"	"PCC_212"	"PCC_214"	"PCC_215"	"PCC_218"	"PCC_220"	"PCC_221"	"PCC_222"	"PCC_228"	"PCC_230"	"PCC_234"	"PCC_236"	"PCC_237"	"PCC_238"	"PCC_241"	"PCC_251"	"PCC_263"	"PCC_265"	"PCC_279"	"PCC_281"	"PCC_284"	"PCC_287"	"PCC_288"	"PCC_289"	"PCC_29"	"PCC_291"	"PCC_303"	"PCC_305"	"PCC_55"	"PCC_83"	"PCC_110"	"PCC_137"	"PCC_150"	"PCC_204"	"PCC_239"	"PCC_264"	"PCC_282"	"PCC_296"	"PCC_131"	"PCC_268"	"PCC_274"	"PCC_277"	"PCC_290"	"PCC_117"	"PCC_172"	"PCC_240"	"PCC_292"	"PCC_300_P8"
"PCC_192"	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0
"PCC_194"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.125	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.5	0	0	0	0	0.125	0	0	0.25	0	0	0	0	1	0.5	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.125	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.125	0.0625	0.0625	0	0.0625	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0
"PCC_201"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.125	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.5	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0.5	1	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.125	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.125	0.0625	0.0625	0	0.0625	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0
"PCC_202"	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0625	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.5	0	0	0	1	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0.03125	0	0	0	0	0	0
"PCC_203"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0
"PCC_212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	1	0	0.125	0.125	0.125	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0.125
"PCC_214"	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.25	0	0	0	0	0	0	0	0.125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0
"PCC_215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0	1	0.125	0.125	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.125
"PCC_218"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	1	0.5	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0.25
"PCC_220"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	0.5	1	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0.25
"PCC_221"	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0625	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0.03125	0	0	0	0	0	0
"PCC_222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCC_228"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCC_230"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCC_234"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCC_236"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.5	0.125	0.125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.125
"PCC_237"	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.125	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.5	0	0	0	0	0.125	0	0	0.25	0	0	0	0	0.5	0.5	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.125	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.125	0.0625	0.0625	0	0.0625	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0
